Data_Captura,Horario,Companhia,Numero_Voo,Operado_Por,Status,Data_Partida,Hora_Partida
2026-02-19,18:35,,0631,,Cancelado,19/02,18:35
2026-02-19,00:50,,0634,,Cancelado,19/02,00:50
2026-02-19,07:00,,1241,,Cancelado,19/02,07:00
2026-02-19,10:40,,1243,,Cancelado,19/02,10:40
2026-02-19,19:20,DELTA,1247,,Cancelado,19/02,19:20
2026-02-19,18:45,,2197,,Atrasado,19/02,18:45
2026-02-19,08:45,DELTA,2418,,Cancelado,19/02,08:45
2026-02-19,16:40,,4585,,Atrasado,19/02,16:40
2026-02-19,07:00,,4682,,Cancelado,19/02,07:00
2026-02-19,11:05,LATAM,5119,,Cancelado,19/02,11:05
2026-02-19,06:45,LATAM,5167,,Cancelado,19/02,06:45
2026-02-19,13:00,LATAM,5237,,Cancelado,19/02,13:00
2026-02-19,10:40,,5437,,Cancelado,19/02,10:40
2026-02-19,08:45,DELTA,6350,,Cancelado,19/02,08:45
2026-02-19,06:45,LATAM,6352,,Cancelado,19/02,06:45
2026-02-19,11:05,LATAM,6353,,Cancelado,19/02,11:05
2026-02-19,09:30,KLM,6404,,Cancelado,19/02,09:30
2026-02-19,23:15,EMIRATES,7124,,Atrasado,19/02,23:15
2026-02-19,14:05,LATAM,7252,,Cancelado,19/02,14:05
2026-02-19,16:40,,7338,,Atrasado,19/02,16:40
2026-02-19,09:30,KLM,7486,,Cancelado,19/02,09:30
2026-02-19,19:20,DELTA,7602,,Cancelado,19/02,19:20
2026-02-19,23:15,,7614,,Cancelado,19/02,23:15
2026-02-19,09:30,KLM,7670,,Cancelado,19/02,09:30
2026-02-19,18:00,,7680,,Cancelado,19/02,18:00
2026-02-19,09:40,KLM,7682,,Cancelado,19/02,09:40
2026-02-19,09:40,KLM,7703,,Cancelado,19/02,09:40
2026-02-19,09:30,KLM,7737,,Cancelado,19/02,09:30
2026-02-19,06:45,LATAM,8032,,Cancelado,19/02,06:45
2026-02-19,13:00,LATAM,8050,,Cancelado,19/02,13:00
2026-02-19,23:40,LATAM,8084,,Cancelado,19/02,23:40
2026-02-19,11:05,LATAM,8142,,Cancelado,19/02,11:05
2026-02-19,18:15,LATAM,8457,,Cancelado,19/02,18:15
2026-02-19,18:45,,8897,,Atrasado,19/02,18:45
2026-02-19,09:40,KLM,9342,,Cancelado,19/02,09:40
2026-02-19,23:00,N/A,9468,,Cancelado,19/02,23:00
2026-02-19,18:00,,9837,,Cancelado,19/02,18:00
2026-02-19,09:30,KLM,9844,,Cancelado,19/02,09:30
2026-02-19,08:30,DELTA,RJ1922,,Cancelado,19/02,08:30
2026-02-19,08:30,DELTA,RJ2699,,Cancelado,19/02,08:30
2026-02-19,20:15,LATAM,RJ3368,,Cancelado,19/02,20:15
2026-02-19,17:25,LATAM,RJ3874,,Atrasado,19/02,17:25
2026-02-19,23:15,LATAM,RJ3945,,Atrasado,19/02,23:15
2026-02-19,18:35,LATAM,RJ4126,,Atrasado,19/02,18:35
2026-02-19,06:35,EMIRATES,RJ4193,,Cancelado,19/02,06:35
2026-02-19,14:10,LATAM,RJ4548,,Cancelado,19/02,14:10
2026-02-19,07:40,LATAM,RJ4653,,Cancelado,19/02,07:40
2026-02-19,23:15,LATAM,RJ4656,,Atrasado,19/02,23:15
2026-02-19,05:45,EMIRATES,RJ4771,,Cancelado,19/02,05:45
2026-02-19,13:15,LATAM,RJ5206,,Cancelado,19/02,13:15
2026-02-19,09:55,LATAM,RJ5225,,Cancelado,19/02,09:55
2026-02-19,17:25,LATAM,RJ6099,,Atrasado,19/02,17:25
2026-02-19,15:10,LATAM,RJ6119,,Cancelado,19/02,15:10
